Agent DT2 issued deposit	 of $506.00	at:09/15/2024 22:21:57 EDT	Transaction Number : 1
Agent WT3 issued withdrawal	 of $98.00	at:09/15/2024 23:39:14 EDT	Transaction Number : 9395
Agent WT7 issued withdrawal	 of $98.00	at:09/15/2024 23:39:14 EDT	Transaction Number : 9396
Agent WT7 issued withdrawal	 of $97.00	at:09/15/2024 23:39:14 EDT	Transaction Number : 9414
Agent DT3 issued deposit	 of $470.00	at:09/15/2024 23:39:14 EDT	Transaction Number : 9416
Agent DT1 issued deposit	 of $555.00	at:09/15/2024 23:39:14 EDT	Transaction Number : 9417
Agent WT4 issued withdrawal	 of $98.00	at:09/15/2024 23:39:14 EDT	Transaction Number : 9422
Agent WT8 issued withdrawal	 of $92.00	at:09/15/2024 23:39:14 EDT	Transaction Number : 9439
Agent DT1 issued deposit	 of $489.00	at:09/15/2024 23:39:14 EDT	Transaction Number : 9441
Agent WT1 issued withdrawal	 of $97.00	at:09/15/2024 23:39:14 EDT	Transaction Number : 9448
Agent WT3 issued withdrawal	 of $97.00	at:09/15/2024 23:39:14 EDT	Transaction Number : 9450
Agent DT1 issued deposit	 of $503.00	at:09/15/2024 23:39:15 EDT	Transaction Number : 9513
Agent DT5 issued deposit	 of $553.00	at:09/15/2024 23:39:16 EDT	Transaction Number : 9514
Agent WT10 issued withdrawal	 of $91.00	at:09/15/2024 23:39:16 EDT	Transaction Number : 9520
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:39:16 EDT	Transaction Number : 9526
Agent DT2 issued deposit	 of $453.00	at:09/15/2024 23:39:16 EDT	Transaction Number : 9536
Agent WT6 issued withdrawal	 of $95.00	at:09/15/2024 23:39:16 EDT	Transaction Number : 9538
Agent WT5 issued withdrawal	 of $92.00	at:09/15/2024 23:39:16 EDT	Transaction Number : 9541
Agent DT3 issued deposit	 of $565.00	at:09/15/2024 23:39:16 EDT	Transaction Number : 9545
Agent WT2 issued withdrawal	 of $90.00	at:09/15/2024 23:39:16 EDT	Transaction Number : 9547
Agent WT10 issued withdrawal	 of $97.00	at:09/15/2024 23:39:16 EDT	Transaction Number : 9566
Agent WT2 issued withdrawal	 of $91.00	at:09/15/2024 23:39:16 EDT	Transaction Number : 9570
Agent DT4 issued deposit	 of $537.00	at:09/15/2024 23:39:16 EDT	Transaction Number : 9574
Agent DT5 issued deposit	 of $588.00	at:09/15/2024 23:39:16 EDT	Transaction Number : 9578
Agent WT4 issued withdrawal	 of $98.00	at:09/15/2024 23:39:17 EDT	Transaction Number : 9619
Agent WT6 issued withdrawal	 of $94.00	at:09/15/2024 23:39:17 EDT	Transaction Number : 9633
Agent WT4 issued withdrawal	 of $94.00	at:09/15/2024 23:39:17 EDT	Transaction Number : 9635
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 23:39:17 EDT	Transaction Number : 9637
Agent WT7 issued withdrawal	 of $95.00	at:09/15/2024 23:39:17 EDT	Transaction Number : 9643
Agent WT8 issued withdrawal	 of $97.00	at:09/15/2024 23:39:17 EDT	Transaction Number : 9648
Agent WT6 issued withdrawal	 of $96.00	at:09/15/2024 23:39:17 EDT	Transaction Number : 9658
Agent DT4 issued deposit	 of $509.00	at:09/15/2024 23:39:18 EDT	Transaction Number : 9681
Agent WT5 issued withdrawal	 of $91.00	at:09/15/2024 23:39:18 EDT	Transaction Number : 9682
Agent WT6 issued withdrawal	 of $93.00	at:09/15/2024 23:39:18 EDT	Transaction Number : 9704
Agent DT5 issued deposit	 of $498.00	at:09/15/2024 23:39:18 EDT	Transaction Number : 9713
Agent WT4 issued withdrawal	 of $92.00	at:09/15/2024 23:39:18 EDT	Transaction Number : 9717
Agent DT1 issued deposit	 of $558.00	at:09/15/2024 23:39:18 EDT	Transaction Number : 9723
Agent WT3 issued withdrawal	 of $98.00	at:09/15/2024 23:39:18 EDT	Transaction Number : 9727
Agent DT1 issued deposit	 of $476.00	at:09/15/2024 23:39:18 EDT	Transaction Number : 9728
Agent WT4 issued withdrawal	 of $93.00	at:09/15/2024 23:39:19 EDT	Transaction Number : 9766
Agent WT2 issued withdrawal	 of $97.00	at:09/15/2024 23:39:19 EDT	Transaction Number : 9768
Agent WT3 issued withdrawal	 of $96.00	at:09/15/2024 23:39:19 EDT	Transaction Number : 9777
Agent DT5 issued deposit	 of $560.00	at:09/15/2024 23:39:19 EDT	Transaction Number : 9796
Agent DT3 issued deposit	 of $551.00	at:09/15/2024 23:39:19 EDT	Transaction Number : 9808
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:39:19 EDT	Transaction Number : 9813
Agent WT5 issued withdrawal	 of $93.00	at:09/15/2024 23:39:19 EDT	Transaction Number : 9827
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:39:19 EDT	Transaction Number : 9830
Agent DT3 issued deposit	 of $510.00	at:09/15/2024 23:39:19 EDT	Transaction Number : 9848
Agent WT2 issued withdrawal	 of $91.00	at:09/15/2024 23:39:19 EDT	Transaction Number : 9851
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:39:19 EDT	Transaction Number : 9854
Agent WT2 issued withdrawal	 of $96.00	at:09/15/2024 23:39:19 EDT	Transaction Number : 9857
Agent WT3 issued withdrawal	 of $93.00	at:09/15/2024 23:39:19 EDT	Transaction Number : 9859
Agent DT4 issued deposit	 of $452.00	at:09/15/2024 23:39:20 EDT	Transaction Number : 9861
Agent WT7 issued withdrawal	 of $97.00	at:09/15/2024 23:39:20 EDT	Transaction Number : 9868
Agent DT4 issued deposit	 of $560.00	at:09/15/2024 23:39:20 EDT	Transaction Number : 9873
Agent WT4 issued withdrawal	 of $91.00	at:09/15/2024 23:39:20 EDT	Transaction Number : 9886
Agent DT1 issued deposit	 of $548.00	at:09/15/2024 23:39:20 EDT	Transaction Number : 9898
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:39:20 EDT	Transaction Number : 9907
Agent DT4 issued deposit	 of $547.00	at:09/15/2024 23:39:20 EDT	Transaction Number : 9917
Agent DT3 issued deposit	 of $465.00	at:09/15/2024 23:39:20 EDT	Transaction Number : 9936
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:39:20 EDT	Transaction Number : 9940
Agent WT10 issued withdrawal	 of $90.00	at:09/15/2024 23:39:20 EDT	Transaction Number : 9942
Agent DT4 issued deposit	 of $524.00	at:09/15/2024 23:39:20 EDT	Transaction Number : 9952
Agent WT4 issued withdrawal	 of $91.00	at:09/15/2024 23:39:20 EDT	Transaction Number : 9956
Agent WT1 issued withdrawal	 of $91.00	at:09/15/2024 23:39:21 EDT	Transaction Number : 10008
Agent DT3 issued deposit	 of $524.00	at:09/15/2024 23:39:22 EDT	Transaction Number : 10021
Agent DT3 issued deposit	 of $480.00	at:09/15/2024 23:39:22 EDT	Transaction Number : 10027
Agent DT5 issued deposit	 of $537.00	at:09/15/2024 23:39:22 EDT	Transaction Number : 10045
Agent WT7 issued withdrawal	 of $94.00	at:09/15/2024 23:39:22 EDT	Transaction Number : 10047
Agent DT1 issued deposit	 of $490.00	at:09/15/2024 23:39:22 EDT	Transaction Number : 10050
Agent DT1 issued deposit	 of $586.00	at:09/15/2024 23:39:22 EDT	Transaction Number : 10051
Agent WT2 issued withdrawal	 of $98.00	at:09/15/2024 23:39:22 EDT	Transaction Number : 10055
Agent DT3 issued deposit	 of $501.00	at:09/15/2024 23:39:22 EDT	Transaction Number : 10061
Agent WT4 issued withdrawal	 of $92.00	at:09/15/2024 23:39:23 EDT	Transaction Number : 10096
Agent WT4 issued withdrawal	 of $97.00	at:09/15/2024 23:39:23 EDT	Transaction Number : 10113
Agent WT7 issued withdrawal	 of $94.00	at:09/15/2024 23:39:23 EDT	Transaction Number : 10123
Agent WT2 issued withdrawal	 of $91.00	at:09/15/2024 23:39:23 EDT	Transaction Number : 10130
Agent DT4 issued deposit	 of $565.00	at:09/15/2024 23:39:23 EDT	Transaction Number : 10132
Agent WT10 issued withdrawal	 of $91.00	at:09/15/2024 23:39:24 EDT	Transaction Number : 10141
Agent WT7 issued withdrawal	 of $90.00	at:09/15/2024 23:39:24 EDT	Transaction Number : 10172
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:39:24 EDT	Transaction Number : 10180
Agent WT10 issued withdrawal	 of $98.00	at:09/15/2024 23:39:24 EDT	Transaction Number : 10193
Agent DT2 issued deposit	 of $527.00	at:09/15/2024 23:39:24 EDT	Transaction Number : 10201
Agent WT7 issued withdrawal	 of $98.00	at:09/15/2024 23:39:24 EDT	Transaction Number : 10202
Agent WT4 issued withdrawal	 of $94.00	at:09/15/2024 23:39:24 EDT	Transaction Number : 10210
Agent DT5 issued deposit	 of $543.00	at:09/15/2024 23:39:24 EDT	Transaction Number : 10213
Agent WT2 issued withdrawal	 of $91.00	at:09/15/2024 23:39:24 EDT	Transaction Number : 10214
Agent DT5 issued deposit	 of $493.00	at:09/15/2024 23:39:24 EDT	Transaction Number : 10216
Agent DT5 issued deposit	 of $571.00	at:09/15/2024 23:39:24 EDT	Transaction Number : 10223
Agent DT5 issued deposit	 of $566.00	at:09/15/2024 23:39:24 EDT	Transaction Number : 10224
Agent DT1 issued deposit	 of $470.00	at:09/15/2024 23:39:25 EDT	Transaction Number : 10227
Agent DT3 issued deposit	 of $487.00	at:09/15/2024 23:39:25 EDT	Transaction Number : 10228
Agent WT7 issued withdrawal	 of $94.00	at:09/15/2024 23:39:25 EDT	Transaction Number : 10229
Agent WT4 issued withdrawal	 of $94.00	at:09/15/2024 23:39:25 EDT	Transaction Number : 10239
Agent DT1 issued deposit	 of $453.00	at:09/15/2024 23:39:25 EDT	Transaction Number : 10248
Agent WT6 issued withdrawal	 of $93.00	at:09/15/2024 23:39:25 EDT	Transaction Number : 10250
Agent WT6 issued withdrawal	 of $92.00	at:09/15/2024 23:39:25 EDT	Transaction Number : 10260
Agent DT5 issued deposit	 of $516.00	at:09/15/2024 23:39:26 EDT	Transaction Number : 10264
Agent WT7 issued withdrawal	 of $90.00	at:09/15/2024 23:39:26 EDT	Transaction Number : 10282
Agent WT8 issued withdrawal	 of $98.00	at:09/15/2024 23:39:26 EDT	Transaction Number : 10283
Agent WT8 issued withdrawal	 of $93.00	at:09/15/2024 23:39:26 EDT	Transaction Number : 10308
Agent DT3 issued deposit	 of $563.00	at:09/15/2024 23:39:26 EDT	Transaction Number : 10310
Agent WT5 issued withdrawal	 of $92.00	at:09/15/2024 23:39:26 EDT	Transaction Number : 10312
Agent WT1 issued withdrawal	 of $91.00	at:09/15/2024 23:39:26 EDT	Transaction Number : 10344
Agent WT1 issued withdrawal	 of $94.00	at:09/15/2024 23:39:26 EDT	Transaction Number : 10361
Agent WT9 issued withdrawal	 of $96.00	at:09/15/2024 23:39:26 EDT	Transaction Number : 10370
Agent WT2 issued withdrawal	 of $96.00	at:09/15/2024 23:39:27 EDT	Transaction Number : 10388
Agent DT4 issued deposit	 of $456.00	at:09/15/2024 23:39:27 EDT	Transaction Number : 10393
Agent DT2 issued deposit	 of $594.00	at:09/15/2024 23:39:27 EDT	Transaction Number : 10394
Agent WT10 issued withdrawal	 of $96.00	at:09/15/2024 23:39:27 EDT	Transaction Number : 10399
Agent WT6 issued withdrawal	 of $91.00	at:09/15/2024 23:39:27 EDT	Transaction Number : 10401
Agent DT3 issued deposit	 of $472.00	at:09/15/2024 23:39:27 EDT	Transaction Number : 10416
Agent DT5 issued deposit	 of $453.00	at:09/15/2024 23:39:27 EDT	Transaction Number : 10418
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:39:27 EDT	Transaction Number : 10437
Agent WT6 issued withdrawal	 of $94.00	at:09/15/2024 23:39:27 EDT	Transaction Number : 10443
Agent WT7 issued withdrawal	 of $97.00	at:09/15/2024 23:39:27 EDT	Transaction Number : 10445
Agent DT1 issued deposit	 of $591.00	at:09/15/2024 23:39:27 EDT	Transaction Number : 10449
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:39:27 EDT	Transaction Number : 10450
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:39:27 EDT	Transaction Number : 10454
Agent DT4 issued deposit	 of $466.00	at:09/15/2024 23:39:28 EDT	Transaction Number : 10460
Agent WT2 issued withdrawal	 of $92.00	at:09/15/2024 23:39:28 EDT	Transaction Number : 10480
Agent WT2 issued withdrawal	 of $95.00	at:09/15/2024 23:39:28 EDT	Transaction Number : 10490
Agent WT8 issued withdrawal	 of $92.00	at:09/15/2024 23:39:29 EDT	Transaction Number : 10503
Agent DT1 issued deposit	 of $598.00	at:09/15/2024 23:39:29 EDT	Transaction Number : 10511
Agent WT5 issued withdrawal	 of $91.00	at:09/15/2024 23:39:29 EDT	Transaction Number : 10512
Agent WT1 issued withdrawal	 of $94.00	at:09/15/2024 23:39:29 EDT	Transaction Number : 10518
Agent DT5 issued deposit	 of $568.00	at:09/15/2024 23:39:29 EDT	Transaction Number : 10520
Agent WT7 issued withdrawal	 of $92.00	at:09/15/2024 23:39:29 EDT	Transaction Number : 10524
Agent WT3 issued withdrawal	 of $93.00	at:09/15/2024 23:39:29 EDT	Transaction Number : 10536
Agent WT6 issued withdrawal	 of $93.00	at:09/15/2024 23:39:29 EDT	Transaction Number : 10552
Agent WT5 issued withdrawal	 of $97.00	at:09/15/2024 23:39:29 EDT	Transaction Number : 10554
Agent DT5 issued deposit	 of $591.00	at:09/15/2024 23:39:30 EDT	Transaction Number : 10569
Agent WT9 issued withdrawal	 of $91.00	at:09/15/2024 23:39:30 EDT	Transaction Number : 10595
Agent WT1 issued withdrawal	 of $90.00	at:09/15/2024 23:39:30 EDT	Transaction Number : 10600
Agent WT1 issued withdrawal	 of $96.00	at:09/15/2024 23:39:30 EDT	Transaction Number : 10617
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:39:31 EDT	Transaction Number : 10645
Agent DT4 issued deposit	 of $592.00	at:09/15/2024 23:39:31 EDT	Transaction Number : 10648
Agent WT6 issued withdrawal	 of $91.00	at:09/15/2024 23:39:31 EDT	Transaction Number : 10649
Agent DT1 issued deposit	 of $593.00	at:09/15/2024 23:39:31 EDT	Transaction Number : 10669
Agent DT2 issued deposit	 of $456.00	at:09/15/2024 23:39:31 EDT	Transaction Number : 10702
Agent WT7 issued withdrawal	 of $96.00	at:09/15/2024 23:39:31 EDT	Transaction Number : 10703
Agent WT10 issued withdrawal	 of $97.00	at:09/15/2024 23:39:31 EDT	Transaction Number : 10704
Agent DT3 issued deposit	 of $600.00	at:09/15/2024 23:39:31 EDT	Transaction Number : 10740
Agent DT1 issued deposit	 of $473.00	at:09/15/2024 23:39:32 EDT	Transaction Number : 10741
Agent WT10 issued withdrawal	 of $96.00	at:09/15/2024 23:39:32 EDT	Transaction Number : 10742
Agent WT7 issued withdrawal	 of $91.00	at:09/15/2024 23:39:32 EDT	Transaction Number : 10743
Agent WT2 issued withdrawal	 of $93.00	at:09/15/2024 23:39:32 EDT	Transaction Number : 10757
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:39:32 EDT	Transaction Number : 10759
Agent WT3 issued withdrawal	 of $91.00	at:09/15/2024 23:39:32 EDT	Transaction Number : 10766
Agent WT2 issued withdrawal	 of $93.00	at:09/15/2024 23:39:32 EDT	Transaction Number : 10769
Agent WT6 issued withdrawal	 of $94.00	at:09/15/2024 23:39:32 EDT	Transaction Number : 10789
Agent WT9 issued withdrawal	 of $91.00	at:09/15/2024 23:39:32 EDT	Transaction Number : 10816
Agent WT5 issued withdrawal	 of $90.00	at:09/15/2024 23:39:32 EDT	Transaction Number : 10820
Agent DT2 issued deposit	 of $532.00	at:09/15/2024 23:39:33 EDT	Transaction Number : 10830
Agent WT8 issued withdrawal	 of $90.00	at:09/15/2024 23:39:33 EDT	Transaction Number : 10832
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:39:33 EDT	Transaction Number : 10850
Agent DT2 issued deposit	 of $503.00	at:09/15/2024 23:39:33 EDT	Transaction Number : 10857
Agent WT5 issued withdrawal	 of $92.00	at:09/15/2024 23:39:33 EDT	Transaction Number : 10858
Agent WT8 issued withdrawal	 of $96.00	at:09/15/2024 23:39:33 EDT	Transaction Number : 10860
Agent WT9 issued withdrawal	 of $93.00	at:09/15/2024 23:39:33 EDT	Transaction Number : 10869
Agent WT2 issued withdrawal	 of $92.00	at:09/15/2024 23:39:33 EDT	Transaction Number : 10878
Agent WT10 issued withdrawal	 of $94.00	at:09/15/2024 23:39:33 EDT	Transaction Number : 10880
Agent WT2 issued withdrawal	 of $98.00	at:09/15/2024 23:39:33 EDT	Transaction Number : 10889
Agent DT3 issued deposit	 of $451.00	at:09/15/2024 23:39:33 EDT	Transaction Number : 10890
Agent WT6 issued withdrawal	 of $98.00	at:09/15/2024 23:39:34 EDT	Transaction Number : 10900
Agent DT3 issued deposit	 of $571.00	at:09/15/2024 23:39:34 EDT	Transaction Number : 10919
Agent WT5 issued withdrawal	 of $97.00	at:09/15/2024 23:39:34 EDT	Transaction Number : 10921
Agent WT1 issued withdrawal	 of $91.00	at:09/15/2024 23:39:34 EDT	Transaction Number : 10922
Agent DT5 issued deposit	 of $578.00	at:09/15/2024 23:39:34 EDT	Transaction Number : 10937
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 23:39:34 EDT	Transaction Number : 10941
Agent WT4 issued withdrawal	 of $95.00	at:09/15/2024 23:39:34 EDT	Transaction Number : 10947
Agent DT3 issued deposit	 of $570.00	at:09/15/2024 23:39:34 EDT	Transaction Number : 10951
Agent WT7 issued withdrawal	 of $95.00	at:09/15/2024 23:39:34 EDT	Transaction Number : 10959
Agent DT1 issued deposit	 of $588.00	at:09/15/2024 23:39:35 EDT	Transaction Number : 10971
Agent WT9 issued withdrawal	 of $90.00	at:09/15/2024 23:39:35 EDT	Transaction Number : 10972
Agent WT4 issued withdrawal	 of $91.00	at:09/15/2024 23:39:35 EDT	Transaction Number : 10999
Agent WT7 issued withdrawal	 of $91.00	at:09/15/2024 23:39:35 EDT	Transaction Number : 11000
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:39:35 EDT	Transaction Number : 11030
Agent DT1 issued deposit	 of $553.00	at:09/15/2024 23:39:36 EDT	Transaction Number : 11035
Agent DT5 issued deposit	 of $543.00	at:09/15/2024 23:39:36 EDT	Transaction Number : 11048
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:39:36 EDT	Transaction Number : 11057
Agent DT4 issued deposit	 of $553.00	at:09/15/2024 23:39:36 EDT	Transaction Number : 11068
Agent DT2 issued deposit	 of $575.00	at:09/15/2024 23:39:36 EDT	Transaction Number : 11070
Agent DT5 issued deposit	 of $530.00	at:09/15/2024 23:39:36 EDT	Transaction Number : 11071
Agent DT5 issued deposit	 of $494.00	at:09/15/2024 23:39:37 EDT	Transaction Number : 11075
Agent WT6 issued withdrawal	 of $94.00	at:09/15/2024 23:39:37 EDT	Transaction Number : 11107
Agent WT6 issued withdrawal	 of $98.00	at:09/15/2024 23:39:37 EDT	Transaction Number : 11119
Agent DT5 issued deposit	 of $462.00	at:09/15/2024 23:39:37 EDT	Transaction Number : 11132
Agent WT4 issued withdrawal	 of $94.00	at:09/15/2024 23:39:37 EDT	Transaction Number : 11135
Agent WT3 issued withdrawal	 of $90.00	at:09/15/2024 23:39:37 EDT	Transaction Number : 11138
Agent DT4 issued deposit	 of $527.00	at:09/15/2024 23:39:37 EDT	Transaction Number : 11142
Agent WT7 issued withdrawal	 of $90.00	at:09/15/2024 23:39:37 EDT	Transaction Number : 11144
Agent WT1 issued withdrawal	 of $90.00	at:09/15/2024 23:39:38 EDT	Transaction Number : 11158
Agent WT9 issued withdrawal	 of $91.00	at:09/15/2024 23:39:38 EDT	Transaction Number : 11175
Agent DT1 issued deposit	 of $468.00	at:09/15/2024 23:39:38 EDT	Transaction Number : 11192
Agent WT7 issued withdrawal	 of $96.00	at:09/15/2024 23:39:38 EDT	Transaction Number : 11207
Agent WT9 issued withdrawal	 of $91.00	at:09/15/2024 23:39:38 EDT	Transaction Number : 11211
Agent WT7 issued withdrawal	 of $94.00	at:09/15/2024 23:39:38 EDT	Transaction Number : 11215
Agent DT1 issued deposit	 of $548.00	at:09/15/2024 23:39:39 EDT	Transaction Number : 11221
Agent DT3 issued deposit	 of $563.00	at:09/15/2024 23:39:39 EDT	Transaction Number : 11225
Agent DT2 issued deposit	 of $455.00	at:09/15/2024 23:39:39 EDT	Transaction Number : 11229
Agent DT2 issued deposit	 of $592.00	at:09/15/2024 23:39:39 EDT	Transaction Number : 11230
Agent WT10 issued withdrawal	 of $94.00	at:09/15/2024 23:39:39 EDT	Transaction Number : 11232
Agent DT4 issued deposit	 of $549.00	at:09/15/2024 23:39:40 EDT	Transaction Number : 11253
Agent WT9 issued withdrawal	 of $93.00	at:09/15/2024 23:39:40 EDT	Transaction Number : 11255
Agent WT5 issued withdrawal	 of $92.00	at:09/15/2024 23:39:40 EDT	Transaction Number : 11270
Agent WT1 issued withdrawal	 of $96.00	at:09/15/2024 23:39:40 EDT	Transaction Number : 11275
Agent WT10 issued withdrawal	 of $93.00	at:09/15/2024 23:39:40 EDT	Transaction Number : 11277
Agent WT3 issued withdrawal	 of $97.00	at:09/15/2024 23:39:40 EDT	Transaction Number : 11278
Agent DT5 issued deposit	 of $501.00	at:09/15/2024 23:39:40 EDT	Transaction Number : 11284
Agent WT7 issued withdrawal	 of $95.00	at:09/15/2024 23:39:40 EDT	Transaction Number : 11285
Agent DT3 issued deposit	 of $455.00	at:09/15/2024 23:39:40 EDT	Transaction Number : 11302
Agent WT2 issued withdrawal	 of $91.00	at:09/15/2024 23:39:40 EDT	Transaction Number : 11306
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:39:40 EDT	Transaction Number : 11324
Agent DT2 issued deposit	 of $546.00	at:09/15/2024 23:39:40 EDT	Transaction Number : 11333
Agent DT2 issued deposit	 of $541.00	at:09/15/2024 23:39:40 EDT	Transaction Number : 11338
Agent WT8 issued withdrawal	 of $93.00	at:09/15/2024 23:39:40 EDT	Transaction Number : 11346
Agent WT1 issued withdrawal	 of $94.00	at:09/15/2024 23:39:40 EDT	Transaction Number : 11362
Agent DT3 issued deposit	 of $465.00	at:09/15/2024 23:39:41 EDT	Transaction Number : 11363
Agent DT2 issued deposit	 of $552.00	at:09/15/2024 23:39:41 EDT	Transaction Number : 11367
Agent DT1 issued deposit	 of $524.00	at:09/15/2024 23:39:41 EDT	Transaction Number : 11375
Agent DT5 issued deposit	 of $463.00	at:09/15/2024 23:39:41 EDT	Transaction Number : 11380
Agent WT9 issued withdrawal	 of $94.00	at:09/15/2024 23:39:41 EDT	Transaction Number : 11391
Agent WT9 issued withdrawal	 of $96.00	at:09/15/2024 23:39:41 EDT	Transaction Number : 11394
Agent WT3 issued withdrawal	 of $97.00	at:09/15/2024 23:39:41 EDT	Transaction Number : 11396
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:39:42 EDT	Transaction Number : 11423
Agent DT5 issued deposit	 of $489.00	at:09/15/2024 23:39:42 EDT	Transaction Number : 11427
Agent WT2 issued withdrawal	 of $97.00	at:09/15/2024 23:39:42 EDT	Transaction Number : 11438
Agent DT3 issued deposit	 of $507.00	at:09/15/2024 23:39:42 EDT	Transaction Number : 11445
Agent WT3 issued withdrawal	 of $94.00	at:09/15/2024 23:39:43 EDT	Transaction Number : 11450
Agent WT8 issued withdrawal	 of $98.00	at:09/15/2024 23:39:43 EDT	Transaction Number : 11452
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:39:43 EDT	Transaction Number : 11471
Agent WT4 issued withdrawal	 of $96.00	at:09/15/2024 23:39:44 EDT	Transaction Number : 11496
Agent DT3 issued deposit	 of $457.00	at:09/15/2024 23:39:44 EDT	Transaction Number : 11505
Agent DT4 issued deposit	 of $477.00	at:09/15/2024 23:39:44 EDT	Transaction Number : 11507
Agent DT2 issued deposit	 of $452.00	at:09/15/2024 23:39:45 EDT	Transaction Number : 11509
Agent DT3 issued deposit	 of $462.00	at:09/15/2024 23:39:45 EDT	Transaction Number : 11512
Agent WT3 issued withdrawal	 of $97.00	at:09/15/2024 23:39:45 EDT	Transaction Number : 11524
Agent DT1 issued deposit	 of $572.00	at:09/15/2024 23:39:45 EDT	Transaction Number : 11563
Agent WT9 issued withdrawal	 of $96.00	at:09/15/2024 23:39:46 EDT	Transaction Number : 11568
Agent WT5 issued withdrawal	 of $93.00	at:09/15/2024 23:39:46 EDT	Transaction Number : 11573
Agent WT9 issued withdrawal	 of $91.00	at:09/15/2024 23:39:46 EDT	Transaction Number : 11590
Agent DT2 issued deposit	 of $509.00	at:09/15/2024 23:39:46 EDT	Transaction Number : 11595
Agent DT1 issued deposit	 of $511.00	at:09/15/2024 23:39:46 EDT	Transaction Number : 11596
Agent WT5 issued withdrawal	 of $92.00	at:09/15/2024 23:39:46 EDT	Transaction Number : 11609
Agent WT5 issued withdrawal	 of $93.00	at:09/15/2024 23:39:46 EDT	Transaction Number : 11610
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:39:46 EDT	Transaction Number : 11631
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:39:46 EDT	Transaction Number : 11634
Agent DT4 issued deposit	 of $532.00	at:09/15/2024 23:39:46 EDT	Transaction Number : 11640
Agent WT6 issued withdrawal	 of $97.00	at:09/15/2024 23:39:47 EDT	Transaction Number : 11649
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:39:47 EDT	Transaction Number : 11660
Agent DT2 issued deposit	 of $538.00	at:09/15/2024 23:39:47 EDT	Transaction Number : 11667
Agent WT10 issued withdrawal	 of $96.00	at:09/15/2024 23:39:47 EDT	Transaction Number : 11672
Agent WT3 issued withdrawal	 of $90.00	at:09/15/2024 23:39:47 EDT	Transaction Number : 11674
Agent WT6 issued withdrawal	 of $91.00	at:09/15/2024 23:39:47 EDT	Transaction Number : 11681
Agent WT4 issued withdrawal	 of $90.00	at:09/15/2024 23:39:47 EDT	Transaction Number : 11682
Agent WT5 issued withdrawal	 of $94.00	at:09/15/2024 23:39:47 EDT	Transaction Number : 11697
Agent DT3 issued deposit	 of $572.00	at:09/15/2024 23:39:47 EDT	Transaction Number : 11699
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:39:47 EDT	Transaction Number : 11703
Agent WT8 issued withdrawal	 of $96.00	at:09/15/2024 23:39:48 EDT	Transaction Number : 11726
Agent DT3 issued deposit	 of $567.00	at:09/15/2024 23:39:48 EDT	Transaction Number : 11740
Agent WT6 issued withdrawal	 of $94.00	at:09/15/2024 23:39:48 EDT	Transaction Number : 11744
Agent WT8 issued withdrawal	 of $91.00	at:09/15/2024 23:39:48 EDT	Transaction Number : 11751
Agent DT5 issued deposit	 of $473.00	at:09/15/2024 23:39:48 EDT	Transaction Number : 11762
Agent WT9 issued withdrawal	 of $94.00	at:09/15/2024 23:39:48 EDT	Transaction Number : 11763
Agent WT9 issued withdrawal	 of $90.00	at:09/15/2024 23:39:48 EDT	Transaction Number : 11778
Agent WT2 issued withdrawal	 of $96.00	at:09/15/2024 23:39:48 EDT	Transaction Number : 11784
Agent DT1 issued deposit	 of $575.00	at:09/15/2024 23:39:48 EDT	Transaction Number : 11785
Agent WT2 issued withdrawal	 of $97.00	at:09/15/2024 23:39:48 EDT	Transaction Number : 11786
Agent WT1 issued withdrawal	 of $98.00	at:09/15/2024 23:39:48 EDT	Transaction Number : 11787
Agent WT10 issued withdrawal	 of $97.00	at:09/15/2024 23:39:48 EDT	Transaction Number : 11794
Agent WT5 issued withdrawal	 of $91.00	at:09/15/2024 23:39:48 EDT	Transaction Number : 11807
Agent WT4 issued withdrawal	 of $98.00	at:09/15/2024 23:39:48 EDT	Transaction Number : 11809
